"","Date","Open"
"1","2015-01-01",1968.95
"2","2015-01-02",1972
"3","2015-01-05",2009.9
"4","2015-01-06",1980
"5","2015-01-07",1965
"6","2015-01-08",1985.6
"7","2015-01-09",1980.1
"8","2015-01-12",2092
"9","2015-01-13",2107.8
"10","2015-01-14",2098.5
"11","2015-01-15",2135.2
"12","2015-01-16",2148
"13","2015-01-19",2120
"14","2015-01-20",2107
"15","2015-01-21",2131.5
"16","2015-01-22",2174.8
"17","2015-01-23",2200
"18","2015-01-27",2221
"19","2015-01-28",2150
"20","2015-01-29",2145
"21","2015-01-30",2161.5
"22","2015-02-02",2141.5
"23","2015-02-03",2136.85
"24","2015-02-04",2139.9
"25","2015-02-05",2150.8
"26","2015-02-06",2205
"27","2015-02-09",2200
"28","2015-02-10",2243
"29","2015-02-11",2280.5
"30","2015-02-12",2283
"31","2015-02-13",2299.6
"32","2015-02-16",2280.3
"33","2015-02-18",2290.55
"34","2015-02-19",2294
"35","2015-02-20",2328.5
"36","2015-02-23",2300
"37","2015-02-24",2279
"38","2015-02-25",2288.9
"39","2015-02-26",2307.5
"40","2015-02-27",2274.9
"41","2015-02-28",2274.75
"42","2015-03-02",2303
"43","2015-03-03",2290
"44","2015-03-04",2300
"45","2015-03-05",2267.05
"46","2015-03-09",2259
"47","2015-03-10",2198.1
"48","2015-03-11",2194.1
"49","2015-03-12",2179
"50","2015-03-13",2225
"51","2015-03-16",2210.55
"52","2015-03-17",2266.65
"53","2015-03-18",2254.5
"54","2015-03-19",2234.6
"55","2015-03-20",2241
"56","2015-03-23",2253
"57","2015-03-24",2234.9
"58","2015-03-25",2222.9
"59","2015-03-26",2208
"60","2015-03-27",2164
"61","2015-03-30",2205.6
"62","2015-03-31",2245
"63","2015-04-01",2198.9
"64","2015-04-06",2179
"65","2015-04-07",2175
"66","2015-04-08",2182.5
"67","2015-04-09",2211.4
"68","2015-04-10",2210.2
"69","2015-04-13",2238
"70","2015-04-15",2236.5
"71","2015-04-16",2222
"72","2015-04-17",2180.05
"73","2015-04-20",2176
"74","2015-04-21",2148
"75","2015-04-22",2151.05
"76","2015-04-23",2148.7
"77","2015-04-24",2135.9
"78","2015-04-27",2000
"79","2015-04-28",1982
"80","2015-04-29",1960.9
"81","2015-04-30",1960
"82","2015-05-04",1959.5
"83","2015-05-05",2000
"84","2015-05-06",1975
"85","2015-05-07",1922
"86","2015-05-08",1958
"87","2015-05-11",1965
"88","2015-05-12",1993.65
"89","2015-05-13",1951.75
"90","2015-05-14",1960
"91","2015-05-15",1935
"92","2015-05-18",1970
"93","2015-05-19",1987.3
"94","2015-05-20",2040
"95","2015-05-21",2048.9
"96","2015-05-22",2044
"97","2015-05-25",2050.5
"98","2015-05-26",2020
"99","2015-05-27",2007
"100","2015-05-28",1975.2
"101","2015-05-29",2004.85
"102","2015-06-01",2032.8
"103","2015-06-02",2048.1
"104","2015-06-03",2018.2
"105","2015-06-04",2030
"106","2015-06-05",2030
"107","2015-06-08",2020
"108","2015-06-09",2003.75
"109","2015-06-10",1990
"110","2015-06-11",2035.95
"111","2015-06-12",2005
"112","2015-06-15",976.95
"113","2015-06-16",994.35
"114","2015-06-17",1011
"115","2015-06-18",1005.6
"116","2015-06-19",1010.3
"117","2015-06-22",1004.9
"118","2015-06-23",1025
"119","2015-06-24",1015
"120","2015-06-25",999.2
"121","2015-06-26",999
"122","2015-06-29",987
"123","2015-06-30",990
"124","2015-07-01",989
"125","2015-07-02",999
"126","2015-07-03",988
"127","2015-07-06",985
"128","2015-07-07",985
"129","2015-07-08",979
"130","2015-07-09",957.5
"131","2015-07-10",948.1
"132","2015-07-13",941
"133","2015-07-14",955
"134","2015-07-15",970
"135","2015-07-16",987.7
"136","2015-07-17",991
"137","2015-07-20",1001.4
"138","2015-07-21",1035
"139","2015-07-22",1105
"140","2015-07-23",1103.95
"141","2015-07-24",1095.55
"142","2015-07-27",1086.9
"143","2015-07-28",1068.5
"144","2015-07-29",1074
"145","2015-07-30",1090
"146","2015-07-31",1078.55
"147","2015-08-03",1078
"148","2015-08-04",1078
"149","2015-08-05",1062
"150","2015-08-06",1094
"151","2015-08-07",1079.5
"152","2015-08-10",1098
"153","2015-08-11",1098.8
"154","2015-08-12",1115
"155","2015-08-13",1147
"156","2015-08-14",1165
"157","2015-08-17",1150
"158","2015-08-18",1150
"159","2015-08-19",1170
"160","2015-08-20",1159
"161","2015-08-21",1140.9
"162","2015-08-24",1109.95
"163","2015-08-25",1100
"164","2015-08-26",1089.8
"165","2015-08-27",1088
"166","2015-08-28",1101.6
"167","2015-08-31",1134.85
"168","2015-09-01",1090
"169","2015-09-02",1098
"170","2015-09-03",1110.15
"171","2015-09-04",1103
"172","2015-09-07",1084.95
"173","2015-09-08",1062
"174","2015-09-09",1087.1
"175","2015-09-10",1084.9
"176","2015-09-11",1091.55
"177","2015-09-14",1099
"178","2015-09-15",1099.4
"179","2015-09-16",1108
"180","2015-09-18",1111.8
"181","2015-09-21",1100
"182","2015-09-22",1115
"183","2015-09-23",1107.45
"184","2015-09-24",1113.5
"185","2015-09-28",1139.95
"186","2015-09-29",1102
"187","2015-09-30",1134.4
"188","2015-10-01",1169.9
"189","2015-10-05",1173
"190","2015-10-06",1187.05
"191","2015-10-07",1156
"192","2015-10-08",1136.4
"193","2015-10-09",1136
"194","2015-10-12",1199
"195","2015-10-13",1107.45
"196","2015-10-14",1091.45
"197","2015-10-15",1099.9
"198","2015-10-16",1099
"199","2015-10-19",1102
"200","2015-10-20",1113
"201","2015-10-21",1125
"202","2015-10-23",1141.8
"203","2015-10-26",1154
"204","2015-10-27",1150
"205","2015-10-28",1144.5
"206","2015-10-29",1153.1
"207","2015-10-30",1145
"208","2015-11-02",1130
"209","2015-11-03",1133.4
"210","2015-11-04",1150.1
"211","2015-11-05",1142.95
"212","2015-11-06",1123
"213","2015-11-09",1120
"214","2015-11-10",1127.5
"215","2015-11-11",1118
"216","2015-11-13",1099.95
"217","2015-11-16",1083.65
"218","2015-11-17",1080
"219","2015-11-18",1041
"220","2015-11-19",1030.25
"221","2015-11-20",1048
"222","2015-11-23",1050
"223","2015-11-24",1050
"224","2015-11-26",1040.95
"225","2015-11-27",1058
"226","2015-11-30",1070
"227","2015-12-01",1088
"228","2015-12-02",1079.95
"229","2015-12-03",1061
"230","2015-12-04",1049
"231","2015-12-07",1055.3
"232","2015-12-08",1045.05
"233","2015-12-09",1043
"234","2015-12-10",1036.6
"235","2015-12-11",1054
"236","2015-12-14",1049.5
"237","2015-12-15",1073.25
"238","2015-12-16",1083.4
"239","2015-12-17",1100
"240","2015-12-18",1103.4
"241","2015-12-21",1077
"242","2015-12-22",1097.45
"243","2015-12-23",1095.05
"244","2015-12-24",1102.05
"245","2015-12-28",1090
"246","2015-12-29",1101.25
"247","2015-12-30",1101.1
"248","2015-12-31",1090.15
